index,filename,label_name,label_int,subset,source,extension,directory_path
0,EyePACS-DEV-RG-1.jpg,RG,1,train,EyePACS-Original,jpg,/dataset/train/RG/
1,EyePACS-DEV-RG-10.jpg,RG,1,train,EyePACS-Original,jpg,/dataset/train/RG/
2,EyePACS-DEV-RG-100.jpg,RG,1,train,EyePACS-Original,jpg,/dataset/train/RG/
3,EyePACS-DEV-RG-1000.jpg,RG,1,train,EyePACS-Original,jpg,/dataset/train/RG/
4,EyePACS-DEV-RG-1001.jpg,RG,1,train,EyePACS-Original,jpg,/dataset/train/RG/
5,EyePACS-DEV-RG-1002.jpg,RG,1,train,EyePACS-Original,jpg,/dataset/train/RG/
6,EyePACS-DEV-RG-1003.jpg,RG,1,train,EyePACS-Original,jpg,/dataset/train/RG/
7,EyePACS-DEV-RG-1004.jpg,RG,1,train,EyePACS-Original,jpg,/dataset/train/RG/
8,EyePACS-DEV-RG-1005.jpg,RG,1,train,EyePACS-Original,jpg,/dataset/train/RG/
9,EyePACS-DEV-RG-1006.jpg,RG,1,train,EyePACS-Original,jpg,/dataset/train/RG/
10,EyePACS-DEV-RG-1007.jpg,RG,1,train,EyePACS-Original,jpg,/dataset/train/RG/
11,EyePACS-DEV-RG-1008.jpg,RG,1,train,EyePACS-Original,jpg,/dataset/train/RG/
12,EyePACS-DEV-RG-1009.jpg,RG,1,train,EyePACS-Original,jpg,/dataset/train/RG/
13,EyePACS-DEV-RG-101.jpg,RG,1,train,EyePACS-Original,jpg,/dataset/train/RG/
14,EyePACS-DEV-RG-1010.jpg,RG,1,train,EyePACS-Original,jpg,/dataset/train/RG/
15,EyePACS-DEV-RG-1011.jpg,RG,1,train,EyePACS-Original,jpg,/dataset/train/RG/
16,EyePACS-DEV-RG-1012.jpg,RG,1,train,EyePACS-Original,jpg,/dataset/train/RG/
17,EyePACS-DEV-RG-1013.jpg,RG,1,train,EyePACS-Original,jpg,/dataset/train/RG/
18,EyePACS-DEV-RG-1014.jpg,RG,1,train,EyePACS-Original,jpg,/dataset/train/RG/
19,EyePACS-DEV-RG-1015.jpg,RG,1,train,EyePACS-Original,jpg,/dataset/train/RG/
20,EyePACS-DEV-RG-1016.jpg,RG,1,train,EyePACS-Original,jpg,/dataset/train/RG/
21,EyePACS-DEV-RG-1017.jpg,RG,1,train,EyePACS-Original,jpg,/dataset/train/RG/
22,EyePACS-DEV-RG-1018.jpg,RG,1,train,EyePACS-Original,jpg,/dataset/train/RG/
23,EyePACS-DEV-RG-1019.jpg,RG,1,train,EyePACS-Original,jpg,/dataset/train/RG/
24,EyePACS-DEV-RG-102.jpg,RG,1,train,EyePACS-Original,jpg,/dataset/train/RG/
25,EyePACS-DEV-RG-1020.jpg,RG,1,train,EyePACS-Original,jpg,/dataset/train/RG/
26,EyePACS-DEV-RG-1021.jpg,RG,1,train,EyePACS-Original,jpg,/dataset/train/RG/
27,EyePACS-DEV-RG-1022.jpg,RG,1,train,EyePACS-Original,jpg,/dataset/train/RG/
28,EyePACS-DEV-RG-1023.jpg,RG,1,train,EyePACS-Original,jpg,/dataset/train/RG/
29,EyePACS-DEV-RG-1024.jpg,RG,1,train,EyePACS-Original,jpg,/dataset/train/RG/
30,EyePACS-DEV-RG-1025.jpg,RG,1,train,EyePACS-Original,jpg,/dataset/train/RG/
31,EyePACS-DEV-RG-1026.jpg,RG,1,train,EyePACS-Original,jpg,/dataset/train/RG/
32,EyePACS-DEV-RG-1027.jpg,RG,1,train,EyePACS-Original,jpg,/dataset/train/RG/
33,EyePACS-DEV-RG-1028.jpg,RG,1,train,EyePACS-Original,jpg,/dataset/train/RG/
34,EyePACS-DEV-RG-1029.jpg,RG,1,train,EyePACS-Original,jpg,/dataset/train/RG/
35,EyePACS-DEV-RG-103.jpg,RG,1,train,EyePACS-Original,jpg,/dataset/train/RG/
36,EyePACS-DEV-RG-1030.jpg,RG,1,train,EyePACS-Original,jpg,/dataset/train/RG/
37,EyePACS-DEV-RG-1031.jpg,RG,1,train,EyePACS-Original,jpg,/dataset/train/RG/
38,EyePACS-DEV-RG-1032.jpg,RG,1,train,EyePACS-Original,jpg,/dataset/train/RG/
39,EyePACS-DEV-RG-1033.jpg,RG,1,train,EyePACS-Original,jpg,/dataset/train/RG/
40,EyePACS-DEV-RG-1034.jpg,RG,1,train,EyePACS-Original,jpg,/dataset/train/RG/
41,EyePACS-DEV-RG-1035.jpg,RG,1,train,EyePACS-Original,jpg,/dataset/train/RG/
42,EyePACS-DEV-RG-1036.jpg,RG,1,train,EyePACS-Original,jpg,/dataset/train/RG/
43,EyePACS-DEV-RG-1037.jpg,RG,1,train,EyePACS-Original,jpg,/dataset/train/RG/
44,EyePACS-DEV-RG-1038.jpg,RG,1,train,EyePACS-Original,jpg,/dataset/train/RG/
45,EyePACS-DEV-RG-1039.jpg,RG,1,train,EyePACS-Original,jpg,/dataset/train/RG/
46,EyePACS-DEV-RG-104.jpg,RG,1,train,EyePACS-Original,jpg,/dataset/train/RG/
47,EyePACS-DEV-RG-1040.jpg,RG,1,train,EyePACS-Original,jpg,/dataset/train/RG/
48,EyePACS-DEV-RG-1041.jpg,RG,1,train,EyePACS-Original,jpg,/dataset/train/RG/
49,EyePACS-DEV-RG-1042.jpg,RG,1,train,EyePACS-Original,jpg,/dataset/train/RG/
50,EyePACS-DEV-RG-1043.jpg,RG,1,train,EyePACS-Original,jpg,/dataset/train/RG/
51,EyePACS-DEV-RG-1044.jpg,RG,1,train,EyePACS-Original,jpg,/dataset/train/RG/
52,EyePACS-DEV-RG-1045.jpg,RG,1,train,EyePACS-Original,jpg,/dataset/train/RG/
53,EyePACS-DEV-RG-1046.jpg,RG,1,train,EyePACS-Original,jpg,/dataset/train/RG/
54,EyePACS-DEV-RG-1047.jpg,RG,1,train,EyePACS-Original,jpg,/dataset/train/RG/
55,EyePACS-DEV-RG-1048.jpg,RG,1,train,EyePACS-Original,jpg,/dataset/train/RG/
56,EyePACS-DEV-RG-1049.jpg,RG,1,train,EyePACS-Original,jpg,/dataset/train/RG/
57,EyePACS-DEV-RG-105.jpg,RG,1,train,EyePACS-Original,jpg,/dataset/train/RG/
